n_models,n_tasks,elapsed_lomo,elapsed_lasomo,plan
33,5,0.525,NA,multisession
34,5,0.515,NA,multisession
35,5,0.533,NA,multisession
36,5,0.544,NA,multisession
37,5,0.542,NA,multisession
38,5,0.54,NA,multisession
39,5,0.613,NA,multisession
40,5,0.559,NA,multisession
41,5,0.578,NA,multisession
42,5,0.6,NA,multisession
43,5,0.636,NA,multisession
44,5,0.629,NA,multisession
45,5,0.617,NA,multisession
46,5,0.633,NA,multisession
47,5,0.675,NA,multisession
48,5,0.744,NA,multisession
49,5,0.644,NA,multisession
50,5,0.648,NA,multisession
51,5,0.669,NA,multisession
52,5,0.677,NA,multisession
53,5,0.738,NA,multisession
54,5,0.732,NA,multisession
55,5,0.746,NA,multisession
56,5,0.77,NA,multisession
57,5,0.8,NA,multisession
58,5,0.752,NA,multisession
59,5,0.768,NA,multisession
60,5,0.766,NA,multisession
61,5,0.804,NA,multisession
62,5,0.842,NA,multisession
63,5,0.787,NA,multisession
64,5,0.806,NA,multisession
65,5,0.832,NA,multisession
66,5,0.912,NA,multisession
67,5,0.873,NA,multisession
68,5,0.882,NA,multisession
69,5,0.894,NA,multisession
70,5,0.894,NA,multisession
71,5,1.079,NA,multisession
72,5,0.961,NA,multisession
73,5,1.003,NA,multisession
74,5,0.927,NA,multisession
75,5,0.93,NA,multisession
76,5,1.011,NA,multisession
77,5,0.976,NA,multisession
78,5,0.946,NA,multisession
79,5,1.059,NA,multisession
80,5,1.068,NA,multisession
81,5,1.072,NA,multisession
82,5,1.027,NA,multisession
83,5,1.062,NA,multisession
84,5,1.006,NA,multisession
85,5,1.027,NA,multisession
86,5,1.078,NA,multisession
87,5,1.083,NA,multisession
88,5,1.089,NA,multisession
89,5,1.193,NA,multisession
90,5,1.135,NA,multisession
91,5,1.105,NA,multisession
92,5,1.28,NA,multisession
93,5,1.735,NA,multisession
94,5,1.148,NA,multisession
95,5,1.226,NA,multisession
96,5,1.237,NA,multisession
97,5,1.192,NA,multisession
98,5,1.299,NA,multisession
99,5,1.594,NA,multisession
100,5,1.29,NA,multisession
11,6,0.259,NA,multisession
12,6,0.263,NA,multisession
13,6,0.31,NA,multisession
14,6,0.292,NA,multisession
15,6,0.311,NA,multisession
16,6,0.307,NA,multisession
17,6,0.325,NA,multisession
18,6,0.328,NA,multisession
19,6,0.344,NA,multisession
20,6,0.362,NA,multisession
21,6,0.542,NA,multisession
22,6,0.372,NA,multisession
23,6,0.443,NA,multisession
24,6,0.407,NA,multisession
25,6,0.417,NA,multisession
26,6,0.425,NA,multisession
27,6,0.461,NA,multisession
28,6,0.491,NA,multisession
29,6,0.545,NA,multisession
30,6,0.466,NA,multisession
31,6,0.575,NA,multisession
32,6,0.715,NA,multisession
33,6,0.64,NA,multisession
34,6,0.743,NA,multisession
35,6,0.542,NA,multisession
36,6,0.57,NA,multisession
37,6,0.562,NA,multisession
38,6,0.544,NA,multisession
39,6,0.56,NA,multisession
40,6,0.606,NA,multisession
41,6,0.598,NA,multisession
42,6,0.6,NA,multisession
43,6,0.61,NA,multisession
44,6,0.65,NA,multisession
45,6,0.653,NA,multisession
46,6,0.656,NA,multisession
47,6,0.699,NA,multisession
48,6,0.679,NA,multisession
49,6,0.879,NA,multisession
50,6,0.703,NA,multisession
51,6,0.752,NA,multisession
52,6,0.727,NA,multisession
53,6,0.694,NA,multisession
54,6,0.752,NA,multisession
55,6,0.749,NA,multisession
56,6,0.77,NA,multisession
57,6,0.779,NA,multisession
58,6,0.77,NA,multisession
59,6,0.816,NA,multisession
60,6,0.801,NA,multisession
61,6,1.024,NA,multisession
62,6,0.852,NA,multisession
